species,generation,evolution stage,habitat,tier,map,table,time of day,rarity
GROOKEY,8,0,forest,T3,MAP_ROUTE113,land,any,common
MIME_JR,1,0,field,T3,MAP_ROUTE113,land,any,common
TIMBURR,5,0,field,T3,MAP_ROUTE113,land,any,common
CACNEA,3,0,forest,T3,MAP_ROUTE113,land,any,uncommon
KARRABLAST,5,0,forest,T3,MAP_ROUTE113,land,any,uncommon
RUFFLET,5,0,field,T3,MAP_ROUTE113,land,any,uncommon
SPRITZEE,6,0,field,T3,MAP_ROUTE113,land,any,uncommon
TEDDIURSA,2,0,field,T3,MAP_ROUTE113,land,any,uncommon
QUAXLY,9,0,water,T3,MAP_ROUTE114,fish,any,common
FRILLISH,5,0,water,T3,MAP_ROUTE114,fish,any,uncommon
PANPOUR,5,0,water,T3,MAP_ROUTE114,fish,any,uncommon
SHELLOS_WEST,4,0,water,T3,MAP_ROUTE114,fish,any,uncommon
SLOWPOKE,1,0,water,T3,MAP_ROUTE114,fish,any,uncommon
SCORBUNNY,8,0,volcanic,T3,MAP_ROUTE114,land,any,common
SWABLU,3,0,field,T3,MAP_ROUTE114,land,any,common
TREECKO,3,0,forest,T3,MAP_ROUTE114,land,any,common
CHESPIN,6,0,forest,T3,MAP_ROUTE114,land,any,uncommon
ELEKID,1,0,urban-electric,T3,MAP_ROUTE114,land,any,uncommon
SWIRLIX,6,0,field,T3,MAP_ROUTE114,land,any,uncommon
SOBBLE,8,0,water,T3,MAP_ROUTE117,fish,any,common
CLAMPERL,3,0,water,T3,MAP_ROUTE117,fish,any,uncommon
FINIZEN,9,0,water,T3,MAP_ROUTE117,fish,any,uncommon
FROAKIE,6,0,water,T3,MAP_ROUTE117,fish,any,uncommon
PORYGON,1,0,field,T3,MAP_ROUTE117,land,any,common
TORCHIC,3,0,volcanic,T3,MAP_ROUTE117,land,any,common
DARUMAKA,5,0,volcanic,T3,MAP_ROUTE117,land,any,uncommon
JOLTIK,5,0,urban-electric,T3,MAP_ROUTE117,land,any,uncommon
ROWLET,7,0,forest,T3,MAP_ROUTE117,land,any,uncommon
SKORUPI,4,0,forest,T3,MAP_ROUTE117,land,any,uncommon
GLIGAR,2,0,cave,T4,MAP_JAGGED_PASS,land,any,rare
PUPITAR,2,1,cave,T4,MAP_JAGGED_PASS,land,any,rare
ZWEILOUS,5,1,night-spooky,T4,MAP_JAGGED_PASS,land,night,rare
TYRUNT,6,0,cave,T4,MAP_JAGGED_PASS,land,any,uncommon
HAKAMO_O,7,1,dragon,T4,MAP_MT_PYRE_1F,land,any,rare
LINOONE_GALAR,3,1,night-spooky,T4,MAP_MT_PYRE_1F,land,night,rare
AMAURA,6,0,cave,T4,MAP_MT_PYRE_1F,land,any,uncommon
NOSEPASS,3,0,cave,T4,MAP_MT_PYRE_1F,land,any,uncommon
METANG,3,1,cave,T4,MAP_MT_PYRE_2F,land,any,rare
RABOOT,8,1,volcanic,T4,MAP_MT_PYRE_2F,land,any,rare
MUDBRAY,7,0,cave,T4,MAP_MT_PYRE_2F,land,any,uncommon
SABLEYE,3,0,night-spooky,T4,MAP_MT_PYRE_2F,land,night,uncommon
CARKOL,8,1,cave,T4,MAP_MT_PYRE_3F,land,any,rare
MONFERNO,4,1,volcanic,T4,MAP_MT_PYRE_3F,land,any,rare
PONYTA,1,0,volcanic,T4,MAP_MT_PYRE_3F,land,any,rare
MAWILE,3,0,cave,T4,MAP_MT_PYRE_3F,land,any,uncommon
DRAKLOAK,8,1,night-spooky,T4,MAP_MT_PYRE_4F,land,night,rare
GABITE,4,1,cave,T4,MAP_MT_PYRE_4F,land,any,rare
GRAVELER,1,1,cave,T4,MAP_MT_PYRE_4F,land,any,uncommon
LUNATONE,3,0,cave,T4,MAP_MT_PYRE_4F,land,any,uncommon
CROCALOR,9,1,volcanic,T4,MAP_MT_PYRE_5F,land,any,rare
PIGNITE,5,1,volcanic,T4,MAP_MT_PYRE_5F,land,any,rare
TAUROS_PALDEA_BLAZE,1,0,volcanic,T4,MAP_MT_PYRE_5F,land,any,rare
GRAVELER_ALOLA,1,1,cave,T4,MAP_MT_PYRE_5F,land,any,uncommon
SOLROCK,3,0,cave,T4,MAP_MT_PYRE_5F,land,any,uncommon
ARCHEN,5,0,cave,T4,MAP_MT_PYRE_6F,land,any,rare
BOLDORE,5,1,cave,T4,MAP_MT_PYRE_6F,land,any,uncommon
MAGMAR,1,1,volcanic,T4,MAP_MT_PYRE_6F,land,any,uncommon
TINKATUFF,9,1,cave,T4,MAP_MT_PYRE_6F,land,any,uncommon
ARCTIBAX,9,1,ice,T4,MAP_MT_PYRE_EXTERIOR,land,any,rare
DRAGONAIR,1,1,dragon,T4,MAP_MT_PYRE_EXTERIOR,land,any,rare
VANILLISH,5,1,ice,T4,MAP_MT_PYRE_EXTERIOR,land,any,uncommon
FRAXURE,5,1,dragon,T4,MAP_MT_PYRE_SUMMIT,land,any,rare
MURKROW,2,0,night-spooky,T4,MAP_MT_PYRE_SUMMIT,land,night,rare
QUILAVA,2,1,volcanic,T4,MAP_MT_PYRE_SUMMIT,land,any,rare
VULLABY,5,0,night-spooky,T4,MAP_MT_PYRE_SUMMIT,land,night,uncommon
GROTLE,4,1,forest,T4,MAP_ROUTE115,land,any,rare
PACHIRISU,4,0,urban-electric,T4,MAP_ROUTE115,land,any,rare
PRIMEAPE,1,1,field,T4,MAP_ROUTE115,land,any,uncommon
BRIONNE,7,1,water,T4,MAP_ROUTE115,water,any,rare
CHATOT,4,0,field,T4,MAP_ROUTE118,land,any,rare
CHARJABUG,7,1,urban-electric,T4,MAP_ROUTE118,land,any,uncommon
PRINPLUP,4,1,water,T4,MAP_ROUTE118,water,any,rare
POLIWHIRL,1,1,water,T4,MAP_ROUTE118,water,any,uncommon
EMOLGA,5,0,urban-electric,T4,MAP_ROUTE119,land,any,rare
SERVINE,5,1,forest,T4,MAP_ROUTE119,land,any,rare
THWACKEY,8,1,forest,T4,MAP_ROUTE119,land,any,rare
MAGNETON,1,1,field,T4,MAP_ROUTE119,land,any,uncommon
TANGELA,1,0,forest,T4,MAP_ROUTE119,land,any,uncommon
CHANSEY,1,1,field,T4,MAP_ROUTE120,land,any,rare
HEATMOR,5,0,volcanic,T4,MAP_ROUTE120,land,any,rare
KANGASKHAN,1,0,field,T4,MAP_ROUTE120,land,any,rare
DEWOTT,5,1,water,T4,MAP_ROUTE120,water,any,rare
DRIZZILE,8,1,water,T4,MAP_ROUTE120,water,any,rare
FLORAGATO,9,1,forest,T4,MAP_ROUTE121,land,any,rare
GURDURR,5,1,field,T4,MAP_ROUTE121,land,any,rare
SCYTHER,1,0,forest,T4,MAP_ROUTE121,land,any,rare
SPEWPA_POKEBALL,6,0,forest,T4,MAP_ROUTE121,land,any,rare
SEADRA,1,1,water,T4,MAP_ROUTE121,water,any,uncommon
PINSIR,1,0,forest,T4,MAP_SAFARI_ZONE_CENTER,land,any,rare
ELECTABUZZ,1,1,urban-electric,T4,MAP_SAFARI_ZONE_CENTER,land,any,uncommon
FLABEBE_WHITE,6,0,field,T4,MAP_SAFARI_ZONE_CENTER,land,any,uncommon
QUAXWELL,9,1,water,T4,MAP_SAFARI_ZONE_CENTER,water,any,rare
PALPITOAD,5,1,water,T4,MAP_SAFARI_ZONE_CENTER,water,any,uncommon
BAYLEEF,2,1,forest,T4,MAP_SAFARI_ZONE_EAST,land,any,rare
MUNCHLAX,1,0,field,T4,MAP_SAFARI_ZONE_EAST,land,any,uncommon
SWADLOON,5,1,forest,T4,MAP_SAFARI_ZONE_EAST,land,any,uncommon
ORICORIO_BAILE,7,0,volcanic,T4,MAP_SAFARI_ZONE_NORTH,land,any,rare
TOGETIC,2,1,field,T4,MAP_SAFARI_ZONE_NORTH,land,any,rare
GOTHORITA,5,1,field,T4,MAP_SAFARI_ZONE_NORTH,land,any,uncommon
YANMA,2,0,forest,T4,MAP_SAFARI_ZONE_NORTH,land,any,uncommon
DUNSPARCE,2,0,field,T4,MAP_SAFARI_ZONE_NORTHEAST,land,any,rare
EELEKTRIK,5,1,urban-electric,T4,MAP_SAFARI_ZONE_NORTHEAST,land,any,rare
GROVYLE,3,1,forest,T4,MAP_SAFARI_ZONE_NORTHEAST,land,any,rare
TURTONATOR,7,0,volcanic,T4,MAP_SAFARI_ZONE_NORTHEAST,land,any,rare
PLUSLE,3,0,urban-electric,T4,MAP_SAFARI_ZONE_NORTHWEST,land,any,rare
QUILLADIN,6,1,forest,T4,MAP_SAFARI_ZONE_NORTHWEST,land,any,rare
CROCONAW,2,1,water,T4,MAP_SAFARI_ZONE_NORTHWEST,water,any,rare
PYUKUMUKU,7,0,water,T4,MAP_SAFARI_ZONE_NORTHWEST,water,any,rare
BRAIXEN,6,1,volcanic,T4,MAP_SAFARI_ZONE_NORTH_FRLG,land,any,rare
COMBUSKEN,3,1,volcanic,T4,MAP_SAFARI_ZONE_NORTH_FRLG,land,any,rare
MINUN,3,0,urban-electric,T4,MAP_SAFARI_ZONE_NORTH_FRLG,land,any,rare
SQUAWKABILLY_GREEN,9,0,field,T4,MAP_SAFARI_ZONE_SOUTH,land,any,rare
TORKOAL,3,0,volcanic,T4,MAP_SAFARI_ZONE_SOUTH,land,any,rare
FLETCHINDER,6,1,volcanic,T4,MAP_SAFARI_ZONE_SOUTH,land,any,uncommon
ROSELIA,3,1,forest,T4,MAP_SAFARI_ZONE_SOUTH,land,any,uncommon
FROGADIER,6,1,water,T4,MAP_SAFARI_ZONE_SOUTHEAST,water,any,rare
MARSHTOMP,3,1,water,T4,MAP_SAFARI_ZONE_SOUTHEAST,water,any,rare
WAILMER,3,0,water,T4,MAP_SAFARI_ZONE_SOUTHEAST,water,any,uncommon
CASTFORM_NORMAL,3,0,field,T4,MAP_SAFARI_ZONE_SOUTHWEST,land,any,rare
DARTRIX,7,1,forest,T4,MAP_SAFARI_ZONE_SOUTHWEST,land,any,rare
IVYSAUR,1,1,forest,T4,MAP_SAFARI_ZONE_SOUTHWEST,land,any,rare
SEALEO,3,1,water,T4,MAP_SAFARI_ZONE_SOUTHWEST,water,any,rare
SHELGON,3,1,dragon,T4,MAP_SAFARI_ZONE_WEST,land,any,rare
TORRACAT,7,1,volcanic,T4,MAP_SAFARI_ZONE_WEST,land,any,rare
GOLBAT,1,1,field,T4,MAP_SAFARI_ZONE_WEST,land,any,uncommon
VULPIX_ALOLA,1,0,ice,T5,MAP_ROUTE122,land,any,common
ACCELGOR,5,0,forest,T5,MAP_ROUTE122,land,any,rare
INDEEDEE_M,8,0,field,T5,MAP_ROUTE122,land,any,rare
ZANGOOSE,3,0,field,T5,MAP_ROUTE122,land,any,rare
SMOOCHUM,1,0,ice,T5,MAP_ROUTE123,land,any,common
BOUFFALANT,5,0,field,T5,MAP_ROUTE123,land,any,rare
FLAMIGO,9,0,field,T5,MAP_ROUTE123,land,any,rare
SEVIPER,3,0,field,T5,MAP_ROUTE123,land,any,rare
FLOETTE_ETERNAL,6,0,field,T5,MAP_ROUTE124,land,any,rare
KECLEON,3,0,field,T5,MAP_ROUTE124,land,any,rare
TAUROS,1,0,field,T5,MAP_ROUTE124,land,any,rare
TATSUGIRI_CURLY,9,0,water,T5,MAP_ROUTE124,water,any,rare
HAWLUCHA,6,0,field,T5,MAP_ROUTE125,land,any,rare
PORYGON2,1,1,field,T5,MAP_ROUTE125,land,any,rare
TROPIUS,3,0,forest,T5,MAP_ROUTE125,land,any,rare
CARNIVINE,4,0,forest,T5,MAP_ROUTE126,land,any,rare
DEDENNE,6,0,urban-electric,T5,MAP_ROUTE126,land,any,rare
URSARING,2,1,field,T5,MAP_ROUTE126,land,any,rare
COMFEY,7,0,field,T5,MAP_ROUTE127,land,any,rare
ROTOM,4,0,field,T5,MAP_ROUTE127,land,any,rare
VIGOROTH,3,1,field,T5,MAP_ROUTE127,land,any,rare
LAPRAS,1,0,water,T5,MAP_ROUTE127,water,any,rare
AUDINO,5,0,field,T5,MAP_ROUTE128,land,any,rare
GIRAFARIG,2,0,field,T5,MAP_ROUTE128,land,any,rare
ORANGURU,7,0,field,T5,MAP_ROUTE128,land,any,rare
SLIGGOO,6,1,dragon,T5,MAP_ROUTE128,land,any,rare
DIPPLIN,8,1,dragon,T5,MAP_ROUTE129,land,any,rare
HERACROSS,2,0,forest,T5,MAP_ROUTE129,land,any,rare
PASSIMIAN,7,0,field,T5,MAP_ROUTE129,land,any,rare
THROH,5,0,field,T5,MAP_ROUTE129,land,any,rare
KOMALA,7,0,field,T5,MAP_ROUTE130,land,any,rare
SAWK,5,0,field,T5,MAP_ROUTE130,land,any,rare
SNEASEL,2,0,ice,T5,MAP_ROUTE130,land,any,rare
MARACTUS,5,0,forest,T5,MAP_ROUTE131,land,any,rare
CRAMORANT,8,0,water,T5,MAP_ROUTE131,water,any,rare
FALINKS,8,0,field,T5,MAP_ROUTE132,land,any,rare
SIGILYPH,5,0,field,T5,MAP_ROUTE132,land,any,rare
DELIBIRD,2,0,ice,T5,MAP_ROUTE132,land,any,uncommon
VANILLITE,5,0,ice,T5,MAP_ROUTE133,land,any,common
PINCURCHIN,8,0,urban-electric,T5,MAP_ROUTE133,land,any,rare
STANTLER,2,0,field,T5,MAP_ROUTE133,land,any,rare
EISCUE_ICE,8,0,ice,T5,MAP_ROUTE134,land,any,rare
MILTANK,2,0,field,T5,MAP_ROUTE134,land,any,rare
ALOMOMOLA,5,0,water,T5,MAP_ROUTE134,water,any,rare
AERODACTYL,1,0,cave,T5,MAP_SEAFLOOR_CAVERN_ENTRANCE,land,any,rare
DOUBLADE,6,1,cave,T5,MAP_SEAFLOOR_CAVERN_ENTRANCE,land,any,rare
ESCAVALIER,5,0,cave,T5,MAP_SEAFLOOR_CAVERN_ENTRANCE,land,any,rare
MORPEKO_FULL_BELLY,8,0,night-spooky,T5,MAP_SEAFLOOR_CAVERN_ENTRANCE,land,night,rare
DRACOZOLT,8,0,dragon,T5,MAP_SEAFLOOR_CAVERN_ROOM1,land,any,rare
MISDREAVUS,2,0,night-spooky,T5,MAP_SEAFLOOR_CAVERN_ROOM1,land,night,rare
SLIGGOO_HISUI,6,1,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM1,land,any,rare
AXEW,5,0,dragon,T5,MAP_SEAFLOOR_CAVERN_ROOM1,land,any,uncommon
CUBCHOO,5,0,ice,T5,MAP_SEAFLOOR_CAVERN_ROOM2,land,any,common
ARCTOZOLT,8,0,ice,T5,MAP_SEAFLOOR_CAVERN_ROOM2,land,any,rare
DURALUDON,8,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM3,land,any,rare
SHUCKLE,2,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM3,land,any,rare
CRYOGONAL,5,0,ice,T5,MAP_SEAFLOOR_CAVERN_ROOM3,land,any,uncommon
KLAWF,9,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM4,land,any,rare
STUNFISK,5,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM4,land,any,rare
BOMBIRDIER,9,0,night-spooky,T5,MAP_SEAFLOOR_CAVERN_ROOM5,land,night,rare
DRUDDIGON,5,0,dragon,T5,MAP_SEAFLOOR_CAVERN_ROOM5,land,any,rare
SKARMORY,2,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM5,land,any,rare
DURANT,5,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM6,land,any,rare
DRACOVISH,8,0,water,T5,MAP_SEAFLOOR_CAVERN_ROOM6,water,any,rare
ARCTOVISH,8,0,water,T5,MAP_SEAFLOOR_CAVERN_ROOM7,water,any,rare
ABSOL,3,0,night-spooky,T5,MAP_SEAFLOOR_CAVERN_ROOM8,land,night,rare
CARBINK,6,0,cave,T5,MAP_SEAFLOOR_CAVERN_ROOM8,land,any,rare
CYCLIZAR,9,0,dragon,T5,MAP_SEAFLOOR_CAVERN_ROOM8,land,any,rare
SNORUNT,3,0,ice,T5,MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,land,any,common
KLEFKI,6,0,cave,T5,MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,land,any,rare
ORTHWORM,9,0,cave,T5,MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,land,any,rare
BERGMITE,6,0,ice,T5,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land,any,common
CETODDLE,9,0,ice,T5,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land,any,uncommon
NOIBAT,6,0,dragon,T5,MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,land,night,common
RELICANTH,3,0,water,T5,MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,water,any,rare
VELUZA,9,0,water,T5,MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,water,any,rare
RHYDON,1,1,cave,T5,MAP_SHOAL_CAVE_LOW_TIDE_LOWER_ROOM,land,any,rare
SPIRITOMB,4,0,night-spooky,T5,MAP_SHOAL_CAVE_LOW_TIDE_LOWER_ROOM,land,night,rare
TOGEDEMARU,7,0,cave,T5,MAP_SHOAL_CAVE_LOW_TIDE_LOWER_ROOM,land,any,rare
MIMIKYU_DISGUISED,7,0,night-spooky,T5,MAP_SHOAL_CAVE_LOW_TIDE_STAIRS_ROOM,land,night,rare
MR_MIME_GALAR,1,1,ice,T5,MAP_SHOAL_CAVE_LOW_TIDE_STAIRS_ROOM,land,any,rare
DRAMPA,7,0,dragon,T5,MAP_VICTORY_ROAD_1F,land,any,rare
PILOSWINE,2,1,cave,T5,MAP_VICTORY_ROAD_1F,land,any,rare
SNOVER,4,0,ice,T5,MAP_VICTORY_ROAD_1F,land,any,uncommon
DHELMISE,7,0,night-spooky,T5,MAP_VICTORY_ROAD_1F_FRLG,land,night,rare
LAIRON,3,1,cave,T5,MAP_VICTORY_ROAD_1F_FRLG,land,any,rare
DARUMAKA_GALAR,5,0,ice,T5,MAP_VICTORY_ROAD_1F_FRLG,land,any,uncommon
APPLIN,8,0,dragon,T5,MAP_VICTORY_ROAD_2F,land,any,common
DARMANITAN_GALAR_ZEN,5,0,ice,T5,MAP_VICTORY_ROAD_2F,land,any,rare
DUSCLOPS,3,1,night-spooky,T5,MAP_VICTORY_ROAD_2F,land,night,rare
SNOM,8,0,ice,T5,MAP_VICTORY_ROAD_3F,land,any,common
KLANG,5,1,cave,T5,MAP_VICTORY_ROAD_3F,land,any,rare
BISHARP,5,1,cave,T5,MAP_VICTORY_ROAD_B1F,land,any,rare
STONJOURNER,8,0,cave,T5,MAP_VICTORY_ROAD_B1F,land,any,rare
BASCULIN_RED_STRIPED,5,0,water,T5,MAP_VICTORY_ROAD_B2F,water,any,rare
BRUXISH,7,0,water,T5,MAP_VICTORY_ROAD_B2F,water,any,rare
DONDOZO,9,0,water,T5,MAP_VICTORY_ROAD_B2F,water,any,rare
